Country,January of 2020,February of 2020,March of 2020,April of 2020,May of 2020,June  of 2020,July of 2020,August of 2020,September of 2020,October of 2020,November of 2020,December of 2020,January of 2021,February of 2021,March of 2021,April of 2021,May of 2021,June  of 2021,July of 2021,August of 2021,September of 2021,October of 2021,November of 2021,December of 2021,January of 2022,February of 2022,March of 2022,April of 2022,May of 2022,June  of 2022,July of 2022,August of 2022,September of 2022,October of 2022,November of 2022,December of 2022,January of 2023,February of 2023,March of 2023,April of 2023,May of 2023,June  of 2023,July of 2023,August of 2023,September of 2023,October of 2023,November of 2023,December of 2023,January of 2024,February of 2024,March of 2024,April of 2024,May of 2024,June  of 2024,July of 2024,August of 2024,September of 2024,October of 2024,November of 2024,December of 2024,January of 2025,February of 2025,March of 2025,April of 2025,May of 2025,June  of 2025,July of 2025,August of 2025,September of 2025,October of 2025,November of 2025,December of 2025,January of 2026,February of 2026,March of 2026,April of 2026,May of 2026,June  of 2026,July of 2026
Brazil,0,1,4256,71886,465166,1344143,2552265,3846153,4745464,5494376,6290272,7563551,9118513,10455630,12573615,14521289,16471600,18448402,19839369,20741815,21381790,21793401,22080906,22263834,25214622,28744050,29882397,30418920,30953579,32206954,33790698,34397205,34654190,34824069,35188586,36302415,36794261,37024417,37258663,37449418,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37511921,37526905,37604817,37693602,37723262,37736362,37748652,37757845,37774549,37809036,37858087,37893623,37925048,37944353,37963809,37990246,38014935,38024672,38033348,38041546,38042729
China,9720,79389,82545,84373,84570,85227,87956,90383,91041,91893,93465,96673,100974,101920,102762,103622,111523,118572,120722,123068,124673,126078,127938,132071,139205,335876,909723,1091080,3019343,4769367,5616120,6401474,7618476,8947475,9666674,84925042,98472389,99030128,99238978,99247381,99269511,99289156,99300370,99306613,99313571,99318598,99320792,99322727,99328306,99336751,99347448,99353356,99359802,99363491,99371784,99378822,99380642,99381078,99381302,99381579,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761,99381761
France,3,16,16,16,8469,18132,32384,130570,388189,1008331,2012405,2338258,2931084,3415218,4090242,4917483,5391736,5490733,5692691,6379634,6613086,6774109,7203450,8709926,18285196,21910919,24116752,27366082,28499829,29596347,32767413,33367049,34005579,35664771,36484764,37989547,38327299,38426361,38588428,38842584,38944076,38997490,38997490,38997490,38997490,38997490,38997490,38997490,38997490,38997490,38997490,38997490,38999018,39003637,39009009,39012529,39020230,39025841,39028961,39031884,39034027,39035218,39036566,39037861,39039210,39040716,39042059,39043795,39047642,39051857,39053621,39056215,39057816,39058979,39059926,39060374,39060638,39060857,39060935
Germany,2,31,63904,156812,182082,194143,206243,243548,287291,446205,1062290,1660178,2221290,2445398,2784133,3299027,3677841,3724727,3756471,3940516,4202003,4616602,5820646,7014043,9957912,14846861,20566111,24356283,26313049,27877640,30927803,32080339,33001628,35618058,36403907,37241936,37749073,38131195,38334220,38405257,38427956,38436657,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437756,38437758,38437794,38437821,38437847,38437855,38437860,38437863,38437864,38437864,38437868,38437874,38437878,38437889,38437904,38437920,38437941,38437949,38437952,38437952,38437953,38437953,38437953,38437953
India,1,3,1251,33050,182143,566840,1638870,3621245,6225763,8137119,9431691,10266674,10746183,11096731,12149335,18762976,28047534,30362848,31613993,32768880,33739980,34273300,34587822,34838804,41302440,42924130,43024440,43075864,43158087,43452164,44019811,44428393,44587307,44653592,44672347,44678384,44682784,44686371,44715786,44945389,44990588,44994188,44995629,44997167,44998782,45001290,45001944,45013172,45025445,45029648,45034360,45037165,45039783,45040618,45041748,45042802,45043792,45044281,45044485,45044573,45044602,45044614,45044636,45044751,45050188,45055381,45055912,45056073,45056126,45056192,45056197,45056206,45056221,45056221,45056221,45056221,45056221,45056221,45056221
Italy,3,888,101739,203591,232664,240835,247557,268617,313410,648073,1585577,2083689,2541783,2907825,3560945,4009208,4216003,4259133,4343519,4534499,4668261,4767440,5015790,5981428,10925485,12764558,14567990,16409183,17396723,18438877,21002773,21845943,22432803,23549523,24414506,25168438,25470070,25589493,25695311,25795509,25866952,25897801,25914395,25955703,26095895,26267839,26447977,26662401,26710862,26717275,26719880,26722745,26726570,26735904,26794705,26853640,26908243,26940482,26950517,26959599,26964072,26966277,26968022,26968605,26968605,26968605,26968605,26968605,26968605,26968966,26969272,26969631,26969791,26969918,26969918,26969918,26969918,26969918,26969918
Japan,12,230,1953,14088,16851,18593,34372,67865,83010,100392,146760,230304,389518,432773,474773,591602,746713,799978,925823,1486153,1701309,1722864,1727304,1733788,2730828,5005892,6552920,7876508,8850282,9329520,12553010,18772004,21229216,22295592,24793166,29105070,32485787,33190564,33441444,33714017,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572,33803572
Republic of Korea,11,2931,9786,10765,11468,12799,14305,19947,23812,26511,34199,60722,78503,90020,103631,122626,140797,157722,199783,253440,313772,366385,452346,635250,864040,3273445,13375818,17275649,18119415,18368857,19776050,23246324,24769101,25557309,27098734,29059273,30176646,30513721,30820130,31170886,31703511,32131606,33201796,34436542,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873,34571873
United Kingdom of Great Britain and Northern Ireland,0,56,29373,166395,254220,283420,304065,337736,468722,1032171,1651060,2563561,3880724,4247290,4418220,4497760,4574090,4892606,5974087,6927124,7961910,9232804,10419788,13441707,17428050,18956050,21136085,22051892,22300908,22723481,23342984,23521613,23681320,23918949,24022874,24194555,24288656,24390357,24524952,24587399,24623838,24639947,24655090,24691129,24751328,24807216,24827524,24865622,24899736,24910280,24916612,24926259,24936576,24953170,24976412,24985680,25001557,25014676,25020640,25027378,25031352,25035415,25041291,25046646,25051727,25059019,25064656,25072409,25087660,25097929,25101927,25106320,25109839,25113605,25116289,25117276,25117931,25118402,25118508
United States of America,8,69,173143,1030306,1785422,2606613,4490841,6015379,7217084,9032641,13407557,19577585,25863033,28330091,30106672,31938874,32920550,33306271,34679583,38794172,42979222,45639685,48084683,53534286,73979050,78359790,79381947,80545387,83243387,86309948,90232883,93112303,94970674,96175292,97300648,99411696,100934394,102019564,102697566,103266404,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829,103436829
